fullVisitorId,channelGrouping,hits_time,geoNetwork_country,geoNetwork_city,totals_totalTransactionRevenue,totals_transactions,totals_timeOnSite,totals_pageviews,visitId,hits_type,hits_product_productRefundAmount,hits_product_productQuantity,hits_product_productPrice,hits_product_productRevenue,hits_product_productSKU,hits_product_v2ProductName,hits_product_v2ProductCategory,hits_product_productVariant,hits_item_currencyCode,hits_item_itemQuantity,hits_item_itemRevenue,hits_transaction_transactionRevenue,hits_transaction_transactionId,hits_page_pageTitle,hits_page_searchKeyword,hits_page_pagePathLevel1,date_formatted
4260059203069180269,Referral,1113024,United States,Mountain View,120000000,1,1113,13,1492540258,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704182037,Checkout Confirmation,,/ordercompleted.html,4/18/2017
1877978258816312270,Referral,614496,United States,San Francisco,120000000,1,614,22,1492820587,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704212083,Checkout Confirmation,,/ordercompleted.html,4/21/2017
3824919143745433816,Referral,251146,United States,not available in demo dataset,120000000,1,251,10,1492879853,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704221254,Checkout Confirmation,,/ordercompleted.html,4/22/2017
0914488327710416168,Referral,178894,United States,New York,120000000,1,179,12,1493058978,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704241949,Checkout Confirmation,,/ordercompleted.html,4/24/2017
0356282076381790916,Display,579646,United States,not available in demo dataset,120000000,1,593,13,1493099431,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704241981,Checkout Confirmation,,/ordercompleted.html,4/24/2017
1863777203887189082,Direct,103711,United States,Los Angeles,120000000,1,104,11,1493356594,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704272382,Checkout Confirmation,,/ordercompleted.html,4/27/2017
6129800794066786989,Referral,370539,United States,New York,120000000,1,483,9,1493394552,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201704281886,Checkout Confirmation,,/ordercompleted.html,4/28/2017
0919608988723857155,Referral,367059,United States,Mountain View,120000000,1,367,17,1493674089,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201705012126,Checkout Confirmation,,/ordercompleted.html,5/1/2017
8958520579281452369,Referral,1338829,United States,New York,120000000,1,1339,12,1493746061,PAGE,,1,119000000,120000000,GGOENEBB078899,Nest® Cam Indoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201705022112,Checkout Confirmation,,/ordercompleted.html,5/2/2017
3377771431337283001,Referral,402364,United States,Palo Alto,120000000,1,402,22,1493744360,PAGE,,1,119000000,120000000,GGOENEBQ078999,Nest® Cam Outdoor Security Camera - USA,Nest-USA,Single Option Only,USD,,,120000000,ORD201705022290,Checkout Confirmation,,/ordercompleted.html,5/2/2017
